timestamp, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/04/14 12:21:24.948, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:21:29.948, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:21:29.949, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:21:34.949, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:21:34.950, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:21:39.950, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:21:39.950, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:21:44.951, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:21:44.951, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:21:49.952, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:21:49.952, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:21:54.953, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:21:54.953, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:21:59.954, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:21:59.954, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:22:04.955, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:22:04.955, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:22:09.956, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:22:09.956, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:22:14.957, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:22:14.957, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:22:19.958, 14 %, 559 MiB, 81920 MiB
2026/04/14 12:22:19.958, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:22:24.959, 8 %, 525 MiB, 81920 MiB
2026/04/14 12:22:24.959, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:22:29.960, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:22:29.960, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:22:34.961, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:22:34.961, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:22:39.962, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:22:39.962, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:22:44.963, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:22:44.963, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:22:49.964, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:22:49.964, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:22:54.965, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:22:54.965, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:22:59.966, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:22:59.966, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:23:04.967, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:23:04.967, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:23:09.968, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:23:09.968, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:23:14.969, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:23:14.969, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:23:19.970, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:23:19.970, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:23:24.971, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:23:24.971, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:23:29.972, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:23:29.972, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:23:34.973, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:23:34.973, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:23:39.974, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:23:39.974, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:23:44.975, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:23:44.975, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:23:49.976, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:23:49.976, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:23:54.977, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:23:54.977, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:23:59.978, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:23:59.978, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:24:04.979, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:24:04.979, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:24:09.980, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:24:09.980, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:24:14.981, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:24:14.981, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:24:19.981, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:24:19.982, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:24:24.982, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:24:24.982, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:24:29.983, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:24:29.983, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:24:34.984, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:24:34.984, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:24:39.985, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:24:39.985, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:24:44.985, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:24:44.985, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:24:50.033, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:24:50.034, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:24:55.034, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:24:55.035, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:25:00.035, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:25:00.035, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:25:05.036, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:25:05.036, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:25:10.037, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:25:10.037, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:25:15.038, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:25:15.038, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:25:20.038, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:25:20.039, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:25:25.039, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:25:25.039, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:25:30.040, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:25:30.040, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:25:35.041, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:25:35.041, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:25:40.042, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:25:40.042, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:25:45.043, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:25:45.043, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:25:50.044, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:25:50.044, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:25:55.044, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:25:55.045, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:26:00.045, 26 %, 525 MiB, 81920 MiB
2026/04/14 12:26:00.045, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:26:05.046, 15 %, 525 MiB, 81920 MiB
2026/04/14 12:26:05.046, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:26:10.047, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:26:10.047, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:26:15.047, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:26:15.047, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:26:20.048, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:26:20.048, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:26:25.049, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:26:25.049, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:26:30.049, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:26:30.050, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:26:35.050, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:26:35.050, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:26:40.051, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:26:40.051, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:26:45.051, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:26:45.051, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:26:50.052, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:26:50.052, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:26:55.052, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:26:55.053, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:27:00.053, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:27:00.053, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:27:05.054, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:27:05.054, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:27:10.054, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:27:10.055, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:27:15.055, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:27:15.055, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:27:20.056, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:27:20.056, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:27:25.056, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:27:25.057, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:27:30.057, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:27:30.057, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:27:35.058, 0 %, 525 MiB, 81920 MiB
2026/04/14 12:27:35.058, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:27:40.059, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:27:40.059, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:27:45.060, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:27:45.060, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:27:50.061, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:27:50.061, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:27:55.062, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:27:55.062, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:28:00.062, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:28:00.063, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:28:05.063, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:28:05.064, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:28:10.064, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:28:10.064, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:28:15.065, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:28:15.065, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:28:20.067, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:28:20.067, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:28:25.068, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:28:25.068, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:28:30.069, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:28:30.069, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:28:35.070, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:28:35.070, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:28:40.071, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:28:40.071, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:28:45.072, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:28:45.072, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:28:50.073, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:28:50.073, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:28:55.074, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:28:55.074, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:29:00.075, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:29:00.075, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:29:05.076, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:29:05.076, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:29:10.077, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:29:10.077, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:29:15.078, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:29:15.078, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:29:20.079, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:29:20.079, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:29:25.080, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:29:25.080, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:29:30.081, 0 %, 491 MiB, 81920 MiB
2026/04/14 12:29:30.081, 0 %, 0 MiB, 81920 MiB
2026/04/14 12:29:35.082, 0 %, 491 MiB, 81920 MiB
