timestamp, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/06/10 00:05:28.849, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:05:28.849, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:05:33.850, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:05:33.850, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:05:38.851, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:05:38.851, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:05:43.852, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:05:43.852, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:05:48.853, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:05:48.853, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:05:53.854, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:05:53.854, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:05:58.855, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:05:58.855, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:06:03.856, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:06:03.856, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:06:08.856, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:06:08.857, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:06:13.857, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:06:13.857, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:06:18.858, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:06:18.858, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:06:23.859, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:06:23.859, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:06:28.861, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:06:28.861, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:06:33.862, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:06:33.862, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:06:38.863, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:06:38.863, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:06:43.864, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:06:43.864, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:06:48.865, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:06:48.865, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:06:53.866, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:06:53.866, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:06:58.867, 0 %, 463 MiB, 81920 MiB
2026/06/10 00:06:58.867, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:07:03.868, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:07:03.868, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:07:08.869, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:07:08.869, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:07:13.870, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:07:13.870, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:07:18.871, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:07:18.872, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:07:23.872, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:07:23.873, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:07:28.873, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:07:28.874, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:07:33.875, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:07:33.875, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:07:38.876, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:07:38.876, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:07:43.877, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:07:43.877, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:07:48.878, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:07:48.878, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:07:53.879, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:07:53.879, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:07:58.880, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:07:58.880, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:08:03.881, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:08:03.881, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:08:08.882, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:08:08.882, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:08:13.883, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:08:13.883, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:08:18.884, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:08:18.884, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:08:23.885, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:08:23.885, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:08:28.886, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:08:28.887, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:08:33.887, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:08:33.888, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:08:38.889, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:08:38.889, 0 %, 0 MiB, 81920 MiB
2026/06/10 00:08:43.890, 0 %, 497 MiB, 81920 MiB
2026/06/10 00:08:43.890, 0 %, 0 MiB, 81920 MiB
